ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
2327082626,2025-10-14T10:45:10.940000,2025-10-14T10:48:23.752000,sell,0.21,0.21,XAUUSDm,4138.933,4130.184,4130.184,,0,0,183.73,,,sl
2219229412,2025-08-11T13:30:49.699000,2025-08-11T13:35:54.906000,buy,0.51,0.51,XAUUSDm,3350.735,3354.376,3354.4,,0,0,185.69,,,sl
2203484576,2025-07-31T11:04:21.076000,2025-07-31T11:33:50.422000,sell,0.31,0.31,XAUUSDm,3297.961,3305.735,,,0,0,-241.0,-0.31,,so
2195243901,2025-07-25T07:17:08.294000,2025-07-25T09:17:16.229000,sell,0.21,0.21,XAUUSDm,3359.819,3346.5,3346.5,,0,0,279.7,,,sl
2193456754,2025-07-24T06:30:29.456000,2025-07-24T06:46:45.783000,buy,0.61,0.61,XAUUSDm,3370.2,3373.7,3373.7,3380.0,0,0,213.5,,,sl
2192969214,2025-07-23T20:31:50.887000,2025-07-23T20:41:42.688000,sell,1.1,1.1,XAUUSDm,3388.169,3389.771,,,0,0,-176.22,,,user
2192952707,2025-07-23T19:30:50.366000,2025-07-23T19:44:35.500000,buy,1.1,1.1,XAUUSDm,3391.916,3389.7,3389.7,,0,0,-243.76,,,sl
2192872601,2025-07-23T17:21:08.329000,2025-07-23T17:28:24.188000,sell,0.61,0.61,XAUUSDm,3390.001,3386.9,3386.9,,0,0,189.16,,,sl
2192679929,2025-07-23T16:00:00.932000,2025-07-23T16:05:38.491000,sell,0.51,0.51,XAUUSDm,3397.895,3387.6,3387.6,,0,0,525.05,,,sl
2190480814,2025-07-22T13:48:27.744000,2025-07-22T14:01:27.799000,sell,0.21,0.21,XAUUSDm,3419.859,3409.8,3409.8,,0,0,211.24,,,sl
2187359914,2025-07-20T18:48:27.743000,2025-07-21T01:56:39.814000,sell,0.21,0.21,BTCUSDm,118321.96,117270.0,117270.0,,0,0,220.91,,,sl
2182680204,2025-07-16T15:14:59.279000,2025-07-16T15:27:00.480000,buy,0.21,0.21,XAUUSDm,3348.653,3364.3,3364.3,,0,0,328.59,,,sl
2179684618,2025-07-15T08:29:46.573000,2025-07-15T08:46:06.141000,buy,0.51,0.51,XAUUSDm,3357.866,3361.2,3361.2,,0,0,170.03,,,sl
2174186044,2025-07-10T18:23:07.645000,2025-07-11T00:59:01.223000,buy,0.21,0.21,XAUUSDm,3316.886,3331.5,3331.5,,0,0,306.89,,,sl
2171930709,2025-07-09T13:30:20.384000,2025-07-09T13:33:11.335000,sell,0.91,0.91,XAUUSDm,3295.24,3297.733,,,0,0,-226.86,-4.48,,so
2171739689,2025-07-09T12:01:16.152000,2025-07-09T12:08:03.882000,sell,0.51,0.51,XAUUSDm,3285.572,3290.16,,,0,0,-233.99,,,user
2171656198,2025-07-09T11:16:40.445000,2025-07-09T11:30:54.497000,sell,0.51,0.51,XAUUSDm,3291.836,3288.5,3288.5,,0,0,170.14,,,sl
2171381404,2025-07-09T08:03:21.444000,2025-07-09T08:20:29.607000,buy,0.31,0.31,XAUUSDm,3292.597,3285.339,,,0,0,-225.0,-0.36,,so
2168180739,2025-07-07T15:37:29.748000,2025-07-07T16:20:22.983000,sell,0.91,0.91,XAUUSDm,3320.894,3323.241,,,0,0,-213.58,-2.58,,so
2168002580,2025-07-07T14:04:17.499000,2025-07-07T14:13:32.819000,sell,0.51,0.51,XAUUSDm,3313.681,3317.987,,,0,0,-219.61,-1.6800000000000002,,so
2164951934,2025-07-04T07:07:53.248000,2025-07-04T07:21:44.018000,sell,0.71,0.71,XAUUSDm,3342.957,3338.9,3338.9,,0,0,288.05,,,sl
2163782862,2025-07-03T12:59:43.427000,2025-07-03T13:06:26.153000,buy,0.51,0.51,XAUUSDm,3322.94,3328.5,3328.5,,0,0,283.56,,,sl
2163575740,2025-07-03T12:28:11.299000,2025-07-03T12:30:02.625000,buy,0.31,0.31,XAUUSDm,3350.257,3338.387,3348.8,,0,0,-367.97,,,sl
2156878128,2025-06-30T08:57:54.392000,2025-06-30T09:11:12.159000,sell,0.51,0.51,XAUUSDm,3289.951,3283.5,3283.5,,0,0,329.0,,,sl
2156364408,2025-06-30T03:44:06.635000,2025-06-30T06:35:14.980000,sell,0.21,0.21,XAUUSDm,3278.798,3294.882,3294.8,,0,0,-337.76,,,sl
